,Business day,Connection point EAN,Connection point Name,Market Party Name,PTE (15min),PTE Start time,Prognosis [MW] (DA),Prognosis [MW] (ID),Realised [MW]
0,8/9/2020,999999999999999000,CONN A1,MP A,1,0:00,3,2,-17.545
1,8/9/2020,999999999999999000,CONN A1,MP A,2,0:15,8,7,-2.545
2,8/9/2020,999999999999999000,CONN A1,MP A,3,0:30,4,3,-24.545
3,8/9/2020,999999999999999000,CONN A1,MP A,4,0:45,-7,-6,-27.545
4,8/9/2020,999999999999999000,CONN A1,MP A,5,1:00,-7,-7,-27.485
5,8/9/2020,999999999999999000,CONN A1,MP A,6,1:15,-1,0,-19.485
6,8/9/2020,999999999999999000,CONN A1,MP A,7,1:30,0,1,-10.485
7,8/9/2020,999999999999999000,CONN A1,MP A,8,1:45,7,8,8.515
8,8/9/2020,999999999999999000,CONN A1,MP A,9,2:00,3,4,-6.77
9,8/9/2020,999999999999999000,CONN A1,MP A,10,2:15,-8,-7,11.23
10,8/9/2020,999999999999999000,CONN A1,MP A,11,2:30,8,8,12.23
11,8/9/2020,999999999999999000,CONN A1,MP A,12,2:45,8,9,-17.77
12,8/9/2020,999999999999999000,CONN A1,MP A,13,3:00,-6,-6,-6.77
13,8/9/2020,999999999999999000,CONN A1,MP A,14,3:15,2,2,8.23
14,8/9/2020,999999999999999000,CONN A1,MP A,15,3:30,-1,-2,-11.77
15,8/9/2020,999999999999999000,CONN A1,MP A,16,3:45,5,6,-15.77
16,8/9/2020,999999999999999000,CONN A1,MP A,17,4:00,9,10,3.485
17,8/9/2020,999999999999999000,CONN A1,MP A,18,4:15,-6,-6,0.485
18,8/9/2020,999999999999999000,CONN A1,MP A,19,4:30,-1,-2,-5.515
19,8/9/2020,999999999999999000,CONN A1,MP A,20,4:45,3,4,-21.515
20,8/9/2020,999999999999999000,CONN A1,MP A,21,5:00,-10,-9,12.59
21,8/9/2020,999999999999999000,CONN A1,MP A,22,5:15,3,3,3.59
22,8/9/2020,999999999999999000,CONN A1,MP A,23,5:30,-1,-1,11.59
23,8/9/2020,999999999999999000,CONN A1,MP A,24,5:45,-1,0,-27.41
24,8/9/2020,999999999999999000,CONN A1,MP A,25,6:00,-9,-8,5.455
25,8/9/2020,999999999999999000,CONN A1,MP A,26,6:15,7,6,-13.545
26,8/9/2020,999999999999999000,CONN A1,MP A,27,6:30,1,0,9.455
27,8/9/2020,999999999999999000,CONN A1,MP A,28,6:45,6,5,-16.545
28,8/9/2020,999999999999999000,CONN A1,MP A,29,7:00,6,5,-20.89
29,8/9/2020,999999999999999000,CONN A1,MP A,30,7:15,-3,-4,-12.89
30,8/9/2020,999999999999999000,CONN A1,MP A,31,7:30,-8,-8,12.11
31,8/9/2020,999999999999999000,CONN A1,MP A,32,7:45,-5,-4,-3.89
32,8/9/2020,999999999999999000,CONN A1,MP A,33,8:00,2,3,2.125
33,8/9/2020,999999999999999000,CONN A1,MP A,34,8:15,4,3,-12.875
34,8/9/2020,999999999999999000,CONN A1,MP A,35,8:30,-3,-4,-15.875
35,8/9/2020,999999999999999000,CONN A1,MP A,36,8:45,1,2,5.125
36,8/9/2020,999999999999999000,CONN A1,MP A,37,9:00,-4,-5,-20.685
37,8/9/2020,999999999999999000,CONN A1,MP A,38,9:15,-7,-8,-12.685
38,8/9/2020,999999999999999000,CONN A1,MP A,39,9:30,3,4,-18.685
39,8/9/2020,999999999999999000,CONN A1,MP A,40,9:45,4,4,-4.685
40,8/9/2020,999999999999999000,CONN A1,MP A,41,10:00,4,5,-2.715
41,8/9/2020,999999999999999000,CONN A1,MP A,42,10:15,6,7,-25.715
42,8/9/2020,999999999999999000,CONN A1,MP A,43,10:30,2,2,-7.715
43,8/9/2020,999999999999999000,CONN A1,MP A,44,10:45,-6,-6,-1.715
44,8/9/2020,999999999999999000,CONN A1,MP A,45,11:00,-7,-7,8.915
45,8/9/2020,999999999999999000,CONN A1,MP A,46,11:15,3,4,-21.085
46,8/9/2020,999999999999999000,CONN A1,MP A,47,11:30,-3,-2,-22.085
47,8/9/2020,999999999999999000,CONN A1,MP A,48,11:45,-10,-10,-26.085
48,8/9/2020,999999999999999000,CONN A1,MP A,49,12:00,0,0,-0.565
49,8/9/2020,999999999999999000,CONN A1,MP A,50,12:15,4,5,1.435
50,8/9/2020,999999999999999000,CONN A1,MP A,51,12:30,7,6,0.435
51,8/9/2020,999999999999999000,CONN A1,MP A,52,12:45,-1,0,8.435
52,8/9/2020,999999999999999000,CONN A1,MP A,53,13:00,0,1,-19.135
53,8/9/2020,999999999999999000,CONN A1,MP A,54,13:15,-3,-2,-10.135
54,8/9/2020,999999999999999000,CONN A1,MP A,55,13:30,-10,-10,-15.135
55,8/9/2020,999999999999999000,CONN A1,MP A,56,13:45,-10,-11,-27.135
56,8/9/2020,999999999999999000,CONN A1,MP A,57,14:00,3,4,1.61
57,8/9/2020,999999999999999000,CONN A1,MP A,58,14:15,-7,-6,-4.39
58,8/9/2020,999999999999999000,CONN A1,MP A,59,14:30,-5,-5,-14.39
59,8/9/2020,999999999999999000,CONN A1,MP A,60,14:45,8,8,-7.39
60,8/9/2020,999999999999999000,CONN A1,MP A,61,15:00,-8,-8,-0.015
61,8/9/2020,999999999999999000,CONN A1,MP A,62,15:15,10,10,-8.015
62,8/9/2020,999999999999999000,CONN A1,MP A,63,15:30,-3,-4,-10.015
63,8/9/2020,999999999999999000,CONN A1,MP A,64,15:45,-10,-11,-1.015
64,8/9/2020,999999999999999000,CONN A1,MP A,65,16:00,2,2,-0.85
65,8/9/2020,999999999999999000,CONN A1,MP A,66,16:15,5,4,-23.85
66,8/9/2020,999999999999999000,CONN A1,MP A,67,16:30,-10,-10,-11.85
67,8/9/2020,999999999999999000,CONN A1,MP A,68,16:45,-2,-2,-28.85
68,8/9/2020,999999999999999000,CONN A1,MP A,69,17:00,-8,-9,-20.655
69,8/9/2020,999999999999999000,CONN A1,MP A,70,17:15,-2,-3,-23.655
70,8/9/2020,999999999999999000,CONN A1,MP A,71,17:30,2,3,-9.655
71,8/9/2020,999999999999999000,CONN A1,MP A,72,17:45,1,0,-11.655
72,8/9/2020,999999999999999000,CONN A1,MP A,73,18:00,0,1,-9.165
73,8/9/2020,999999999999999000,CONN A1,MP A,74,18:15,-8,-9,-7.165
